date,mode,count,count_sa,count_ma90,count_sa_ma90
2024-04-26,Metro-North Railroad,198590,178844.89522921175,168544.36666666667,173965.68796567313
2024-04-27,Metro-North Railroad,109447,174171.93449955533,169018.2888888889,174169.0717322011
2024-04-28,Metro-North Railroad,91619,179850.4284660041,167950.7,174060.29897256012
2024-04-29,Metro-North Railroad,201385,181936.0233108815,167878.35555555555,174143.81755581996
2024-04-30,Metro-North Railroad,218592,174044.2202899365,168036.56666666668,174178.73223747176
2024-05-01,Metro-North Railroad,205030,172712.63470815896,168207.77777777778,174198.78358633097
2024-05-02,Metro-North Railroad,210951,178934.82658413303,168617.85555555555,174292.28996029383
2024-05-03,Metro-North Railroad,204190,178416.62113709093,169749.85555555555,174247.9896670178
2024-05-04,Metro-North Railroad,122719,183399.85390506606,170256.92222222223,174339.1406483321
2024-05-05,Metro-North Railroad,87988,169546.4852096229,169121.44444444444,174100.12615130364
2024-05-06,Metro-North Railroad,200506,182786.09239060176,169035.3777777778,174161.88152215956
2024-05-07,Metro-North Railroad,227303,173092.37257469026,169306.84444444443,174094.30345527342
2024-05-08,Metro-North Railroad,221059,176659.22815710513,169562.94444444444,174150.3837398526
2024-05-09,Metro-North Railroad,218370,181733.25428926977,169928.44444444444,174195.3795376432
2024-05-10,Metro-North Railroad,195091,164774.68318664323,170985.65555555557,174068.74446615422
2024-05-11,Metro-North Railroad,117308,168413.00991578368,171471.14444444445,174159.91914316357
2024-05-12,Metro-North Railroad,98717,167161.1867267975,170511.13333333333,173940.24440370075
2024-05-13,Metro-North Railroad,209794,187024.2409902032,171349.34444444443,174562.70980452842
2024-05-14,Metro-North Railroad,226656,171678.12438165053,171626.7888888889,174561.15127078115
2024-05-15,Metro-North Railroad,219840,173128.28355568042,171817.1888888889,174547.04508128058
2024-05-16,Metro-North Railroad,215601,170167.9189664023,172140.01111111112,174427.0001541499
2024-05-17,Metro-North Railroad,215838,175755.35633690094,173511.2888888889,174460.5851294963
2024-05-18,Metro-North Railroad,130279,178734.28091498997,174051.51111111112,174185.5107865673
2024-05-19,Metro-North Railroad,106408,175705.37420853105,174278.56666666668,174825.98885597102
2024-05-20,Metro-North Railroad,216450,192038.47670211561,174382.46666666667,174678.9037037075
2024-05-21,Metro-North Railroad,234587,173044.21996471795,174754.83333333334,174673.65335466532
2024-05-22,Metro-North Railroad,233098,181533.1276718187,175174.64444444445,174737.31327950317
2024-05-23,Metro-North Railroad,215083,173909.71796422568,175538.36666666667,174702.43785796504
2024-05-24,Metro-North Railroad,209130,175563.932554873,176762.67777777778,174741.692406655
2024-05-25,Metro-North Railroad,120036,171899.21019992715,177226.98888888888,174794.73487659747
2024-05-26,Metro-North Railroad,101017,203526.6055347963,176265.6,174996.5839697893
2024-05-27,Metro-North Railroad,81042,104113.98797250821,174854.48888888888,174209.26776403407
2024-05-28,Metro-North Railroad,227311,200717.81440236227,175161.6,174426.1254031333
2024-05-29,Metro-North Railroad,227379,177383.71242932454,175412.16666666666,174431.80675287463
2024-05-30,Metro-North Railroad,219887,177741.48589999543,176107.04444444444,174665.2369020412
2024-05-31,Metro-North Railroad,211027,182801.56549933358,177500.83333333334,174819.00267257067
2024-06-01,Metro-North Railroad,110948,177185.23568696913,177788.0888888889,174837.60866832096
2024-06-02,Metro-North Railroad,92567,170975.70690250763,176718.33333333334,174704.74408493572
2024-06-03,Metro-North Railroad,197640,185413.98946254203,176641.94444444444,174852.62789320003
2024-06-04,Metro-North Railroad,233237,170710.09524113344,177033.02222222224,174912.6253031808
2024-06-05,Metro-North Railroad,230173,173631.49469144962,177394.2888888889,174965.52209501827
2024-06-06,Metro-North Railroad,219447,177887.474026219,177689.26666666666,174985.71851759477
2024-06-07,Metro-North Railroad,214062,186168.34619218385,178987.92222222223,175158.82073928282
2024-06-08,Metro-North Railroad,135138,180627.30488175555,179625.36666666667,175337.62508971326
2024-06-09,Metro-North Railroad,107497,172042.0412387498,178729.6888888889,175265.38294530765
2024-06-10,Metro-North Railroad,211542,192126.98483412655,178707.0,175461.19228560108
2024-06-11,Metro-North Railroad,230796,169304.5279883696,178909.3777777778,175312.29947776487
2024-06-12,Metro-North Railroad,224305,167580.34683699903,179046.52222222224,175214.43338316403
2024-06-13,Metro-North Railroad,221855,183139.2099534074,179297.3,175286.02459529403
2024-06-14,Metro-North Railroad,204586,175119.43729276257,180129.73333333334,175144.59634195015
2024-06-15,Metro-North Railroad,122409,181585.37288818945,180523.56666666668,175295.65755047186
2024-06-16,Metro-North Railroad,109303,173734.6181401554,179618.3777777778,175274.21835582372
2024-06-17,Metro-North Railroad,215241,186087.61646159648,179676.3,175449.45953814875
2024-06-18,Metro-North Railroad,242116,179317.88233613747,180077.25555555554,175535.54526421998
2024-06-19,Metro-North Railroad,206582,188237.78662477946,180149.97777777776,175714.21753783364
2024-06-20,Metro-North Railroad,227113,179502.57965463068,180590.24444444446,175802.59543106347
2024-06-21,Metro-North Railroad,211543,174462.9952249362,182081.48888888888,176010.42388572256
2024-06-22,Metro-North Railroad,119962,177624.78273543782,182520.5,176059.88414225302
2024-06-23,Metro-North Railroad,103892,176928.55749916582,181533.52222222224,176094.5744441322
2024-06-24,Metro-North Railroad,213904,181499.84869626607,181559.5,176190.60771601662
2024-06-25,Metro-North Railroad,232410,177765.04502265842,181833.56666666668,176268.80130896636
2024-06-26,Metro-North Railroad,226518,170359.21551640867,182121.73333333334,176245.75564895116
2024-06-27,Metro-North Railroad,227648,186718.3059884472,182447.34444444443,176450.85267775925
2024-06-28,Metro-North Railroad,211914,180899.64639910427,183567.93333333332,176494.9590195582
2024-06-29,Metro-North Railroad,119738,173726.22087626543,183804.3777777778,176401.6023469618
2024-06-30,Metro-North Railroad,108244,180826.6647936564,183005.9,176552.78311667417
2024-07-01,Metro-North Railroad,185943,178612.41341172316,182774.67777777778,176648.97262781998
2024-07-02,Metro-North Railroad,207844,188225.77122199108,182917.3777777778,176904.71486271376
2024-07-03,Metro-North Railroad,205176,208186.14723909373,182955.5,177271.16526576615
2024-07-04,Metro-North Railroad,101274,152074.49727835003,181829.8777777778,176901.13323195776
2024-07-05,Metro-North Railroad,183222,176173.80952036765,182564.6222222222,176815.89538754494
2024-07-06,Metro-North Railroad,110386,176396.79787488043,182745.54444444444,176817.03911500392
2024-07-07,Metro-North Railroad,105041,180465.0190988676,181755.93333333332,176898.55865934852
2024-07-08,Metro-North Railroad,199454,174789.40073727627,181434.42222222223,176815.70580796694
2024-07-09,Metro-North Railroad,219843,174978.35942727927,181470.55555555556,176749.45696783363
2024-07-10,Metro-North Railroad,210993,167594.51393238056,181537.0,176664.63212331937
2024-07-11,Metro-North Railroad,209174,181067.2491519596,181730.54444444444,176750.89554135004
2024-07-12,Metro-North Railroad,191828,172957.12363259427,182633.72222222222,176783.01718806766
2024-07-13,Metro-North Railroad,107166,173081.48285900912,182784.0888888889,176824.83671377396
2024-07-14,Metro-North Railroad,97038,172768.49979465245,181597.45555555556,176794.3083869724
2024-07-15,Metro-North Railroad,202008,180910.03757036835,181397.2111111111,176862.25765977564
2024-07-16,Metro-North Railroad,220620,172164.7268487313,181461.55555555556,176822.81427242368
2024-07-17,Metro-North Railroad,214137,169733.87823916192,181575.75555555554,176837.4259254233
