Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
2023-12-01,NYCT,NYPD,Felony Assault,37,0.29
2023-12-01,NYCT,NYPD,Murder,0,0.0
2023-12-01,NYCT,NYPD,Rape,1,0.01
2023-12-01,NYCT,NYPD,Robbery,42,0.33
2023-12-01,NYCT,NYPD,Grand Larceny,109,0.85
2024-01-01,NYCT,NYPD,Burglary,2,0.02
2024-01-01,NYCT,NYPD,Felony Assault,55,0.45
2024-01-01,NYCT,NYPD,Murder,1,0.01
2024-01-01,NYCT,NYPD,Rape,0,0.0
2024-01-01,NYCT,NYPD,Robbery,52,0.42
2024-01-01,NYCT,NYPD,Grand Larceny,113,0.92
2024-02-01,NYCT,NYPD,Burglary,2,0.02
2024-02-01,NYCT,NYPD,Felony Assault,35,0.29
2024-02-01,NYCT,NYPD,Murder,2,0.02
2024-02-01,NYCT,NYPD,Rape,1,0.01
2024-02-01,NYCT,NYPD,Robbery,38,0.31
2024-02-01,NYCT,NYPD,Grand Larceny,70,0.58
2024-03-01,NYCT,NYPD,Burglary,0,0.0
2024-03-01,NYCT,NYPD,Felony Assault,49,0.37
2024-03-01,NYCT,NYPD,Murder,1,0.01
2024-03-01,NYCT,NYPD,Rape,1,0.01
2024-03-01,NYCT,NYPD,Robbery,26,0.19
2024-03-01,NYCT,NYPD,Grand Larceny,89,0.66
2024-04-01,NYCT,NYPD,Burglary,1,0.01
2024-04-01,NYCT,NYPD,Felony Assault,28,0.21
2024-04-01,NYCT,NYPD,Murder,0,0.0
2024-04-01,NYCT,NYPD,Rape,0,0.0
2024-04-01,NYCT,NYPD,Robbery,21,0.16
2024-04-01,NYCT,NYPD,Grand Larceny,84,0.63
2024-04-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-05-01,NYCT,NYPD,Burglary,1,0.01
2024-05-01,NYCT,NYPD,Felony Assault,41,0.29
2024-05-01,NYCT,NYPD,Murder,0,0.0
2024-05-01,NYCT,NYPD,Rape,0,0.0
2024-05-01,NYCT,NYPD,Robbery,41,0.29
2024-05-01,NYCT,NYPD,Grand Larceny,95,0.67
2024-05-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-06-01,NYCT,NYPD,Burglary,1,0.01
2024-06-01,NYCT,NYPD,Felony Assault,48,0.37
2024-06-01,NYCT,NYPD,Murder,2,0.02
2024-06-01,NYCT,NYPD,Rape,1,0.01
2024-06-01,NYCT,NYPD,Robbery,30,0.23
2024-06-01,NYCT,NYPD,Grand Larceny,90,0.7
2024-06-01,NYCT,NYPD,Grand Larceny Auto,0,0.0
2024-07-01,NYCT,NYPD,Burglary,0,0.0
2024-07-01,NYCT,NYPD,Felony Assault,41,0.32
2024-07-01,NYCT,NYPD,Murder,0,0.0
2024-07-01,NYCT,NYPD,Rape,0,0.0
2024-07-01,NYCT,NYPD,Robbery,34,0.27
2024-07-01,NYCT,NYPD,Grand Larceny,73,0.58
