Season,Team Name,3PA/G,W/L%,average
2002,Milwaukee Bucks,18.6,0.512,False
2015,Memphis Grizzlies,18.5,0.512,False
2004,Houston Rockets,18.5,0.622,False
1995,Charlotte Hornets,18.5,0.5,False
2010,Los Angeles Clippers,18.5,0.39,False
2015,San Antonio Spurs,18.5,0.817,False
2012,Denver Nuggets,18.5,0.695,False
2009,Denver Nuggets,18.5,0.646,False
2008,Los Angeles Lakers,18.5,0.793,False
2008,Los Angeles Clippers,18.5,0.232,False
2006,Sacramento Kings,18.5,0.402,False
1998,Denver Nuggets,18.4,0.28,False
2001,Detroit Pistons,18.4,0.61,False
2015,Brooklyn Nets,18.4,0.256,False
2010,Portland Trail Blazers,18.3,0.585,False
2014,Milwaukee Bucks,18.3,0.5,False
1996,Los Angeles Lakers,18.3,0.683,False
1996,Detroit Pistons,18.3,0.659,False
1998,Houston Rockets,18.3,0.62,False
2009,Dallas Mavericks,18.3,0.671,False
2004,Washington Wizards,18.3,0.549,False
2003,Sacramento Kings,18.3,0.671,False
2012,Washington Wizards,18.2,0.354,False
1994,Los Angeles Lakers,18.2,0.585,False
2010,Cleveland Cavaliers,18.2,0.232,False
2002,Detroit Pistons,18.1,0.61,False
2010,Los Angeles Lakers,18.1,0.695,False
1999,Indiana Pacers,18.1,0.683,False
2004,Memphis Grizzlies,18.1,0.549,False
2000,Milwaukee Bucks,18.1,0.634,False
2015,Miami Heat,18.0,0.585,False
2001,Houston Rockets,18.0,0.341,False
2010,Miami Heat,18.0,0.707,False
2008,Denver Nuggets,18.0,0.659,False
2005,Chicago Bulls,18.0,0.5,False
2013,Sacramento Kings,18.0,0.341,False
2012,Minnesota Timberwolves,18.0,0.378,False
2008,Golden State Warriors,18.0,0.354,False
1998,Seattle SuperSonics,18.0,0.5,False
2012,New Orleans Hornets,18.0,0.329,False
2006,Milwaukee Bucks,18.0,0.341,False
2013,Charlotte Bobcats,17.9,0.524,False
1997,Los Angeles Clippers,17.9,0.207,False
2005,Cleveland Cavaliers,17.9,0.61,False
2006,Toronto Raptors,17.9,0.573,False
2013,Chicago Bulls,17.8,0.585,False
2007,Toronto Raptors,17.8,0.5,False
1995,Miami Heat,17.8,0.512,False
2009,Los Angeles Clippers,17.8,0.354,False
2003,Dallas Mavericks,17.8,0.634,False
2012,Phoenix Suns,17.7,0.305,False
2009,Atlanta Hawks,17.7,0.646,False
2007,New York Knicks,17.7,0.28,False
2004,Philadelphia 76ers,17.7,0.524,False
1995,Boston Celtics,17.7,0.402,False
2006,Seattle SuperSonics,17.7,0.378,False
2005,Detroit Pistons,17.7,0.78,False
2005,New Jersey Nets,17.6,0.598,False
1994,New York Knicks,17.6,0.671,False
2008,Phoenix Suns,17.6,0.561,False
2000,Denver Nuggets,17.6,0.488,False
2007,Charlotte Bobcats,17.6,0.39,False
2005,Miami Heat,17.6,0.634,False
2012,Detroit Pistons,17.6,0.354,False
2006,Denver Nuggets,17.6,0.549,False
2001,Los Angeles Lakers,17.5,0.707,False
2012,Philadelphia 76ers,17.5,0.415,False
1995,Philadelphia 76ers,17.5,0.22,False
2009,Boston Celtics,17.5,0.61,False
2004,Chicago Bulls,17.5,0.573,False
2007,New Jersey Nets,17.4,0.415,False
1996,Phoenix Suns,17.4,0.488,False
2010,Atlanta Hawks,17.4,0.537,False
2009,Miami Heat,17.4,0.573,False
2007,Portland Trail Blazers,17.4,0.5,False
2010,Chicago Bulls,17.3,0.756,False
1997,Los Angeles Lakers,17.3,0.744,False
2010,Milwaukee Bucks,17.2,0.427,False
2005,Houston Rockets,17.2,0.415,False
2000,Houston Rockets,17.2,0.549,False
1994,Orlando Magic,17.2,0.695,False
1994,Charlotte Hornets,17.2,0.61,False
2008,Milwaukee Bucks,17.2,0.415,False
2005,Sacramento Kings,17.2,0.537,False
2012,Boston Celtics,17.2,0.506,False
2003,Houston Rockets,17.1,0.549,False
2006,Cleveland Cavaliers,17.1,0.61,False
2006,Dallas Mavericks,17.1,0.817,False
2010,Oklahoma City Thunder,17.1,0.671,False
2007,Dallas Mavericks,17.1,0.622,False
1996,Chicago Bulls,17.1,0.841,False
1996,Portland Trail Blazers,17.1,0.598,False
2012,Charlotte Bobcats,17.1,0.256,False
2009,Toronto Raptors,17.0,0.488,False
1999,Denver Nuggets,17.0,0.427,False
2004,Sacramento Kings,17.0,0.61,False
1994,Detroit Pistons,17.0,0.341,False
2004,San Antonio Spurs,17.0,0.72,False
2005,Washington Wizards,17.0,0.512,False
2006,Indiana Pacers,16.9,0.427,False
2009,Portland Trail Blazers,16.9,0.61,False
