date,NASDAQCOM,UMCSENT,NASDAQCOM_yoy_change,UMCSENT_yoy_change,yoy_change_diff
2003-09-01,1841.48,87.7,45.705152550955816,1.8583042973286945,43.84684825362712
2003-10-01,1832.25,89.6,50.96150677256699,11.166253101736977,39.795253670830014
2003-11-01,1969.26,93.7,44.72403909752334,11.282660332541571,33.44137876498176
2003-12-01,1989.82,92.6,34.014466789692754,6.805074971164937,27.209391818527816
2004-01-01,1999.77,103.8,44.40336498537749,25.970873786407743,18.43249119896975
2004-02-01,2085.49,94.4,56.12759777205485,18.1476846057572,37.97991316629765
2004-03-01,2057.8,95.8,56.266848919770695,23.453608247422686,32.81324067234801
2004-04-01,2019.09,94.2,48.85982438420196,9.534883720930232,39.324940663271725
2004-05-01,1926.09,90.2,30.2424180951415,-2.062975027144398,32.3053931222859
2004-06-01,1972.71,95.6,24.345091019111486,6.577480490523957,17.76761052858753
2004-07-01,2006.67,96.7,22.226012169792362,6.380638063806376,15.845374105985986
2004-08-01,1893.13,95.9,10.45034743087847,7.3908174692049355,3.059529961673534
2004-09-01,1850.41,94.2,0.48493602971522165,7.411630558722915,-6.926694529007693
2004-10-01,1942.2,91.7,6.000818665575114,2.34375,3.657068665575114
2004-11-01,1979.87,92.8,0.5387810649685632,-0.9605122732123883,1.4992933381809515
2004-12-01,2138.23,97.1,7.458463579620278,4.859611231101502,2.5988523485187764
2005-01-01,2152.15,95.5,7.619876285772875,-7.996146435452789,15.616022721225665
2005-02-01,2068.7,94.1,-0.8050865743781999,-0.31779661016950733,-0.4872899642086925
2005-03-01,2071.25,92.6,0.6536106521527696,-3.3402922755741193,3.993902927726889
2005-04-01,1984.81,87.7,-1.6977945510106007,-6.900212314225051,5.20241776321445
2005-05-01,1928.65,86.9,0.13291175386405119,-3.658536585365846,3.791448339229897
2005-06-01,2087.86,96.0,5.8371478828616485,0.4184100418409997,5.418737841020649
2005-07-01,2057.37,96.5,2.526573876123117,-0.20682523267838704,2.733399108801504
2005-08-01,2195.38,89.1,15.965623068674617,-7.090719499478637,23.056342568153255
2005-09-01,2147.9,76.9,16.076977534708515,-18.365180467091292,34.44215800179981
2005-10-01,2155.43,74.2,10.97878694264236,-19.083969465648853,30.062756408291214
2005-11-01,2114.5,81.6,6.79994141029463,-12.06896551724138,18.86890692753601
2005-12-01,2267.17,91.5,6.030221257769286,-5.767250257466527,11.797471515235813
2006-01-01,2243.74,91.2,4.255744255744243,-4.502617801047116,8.75836205679136
2006-02-01,2310.56,86.7,11.69140039638421,-7.863974495217841,19.55537489160205
2006-03-01,2314.64,88.9,11.750875075437527,-3.995680345572339,15.746555421009866
2006-04-01,2336.74,87.4,17.731168222651018,-0.34207525655644,18.07324347920746
2006-05-01,2304.79,79.1,19.50276099862598,-8.975834292289997,28.478595290915976
2006-06-01,2219.86,84.9,6.322262986981886,-11.562499999999998,17.884762986981883
2006-07-01,2190.43,84.7,6.467480326825026,-12.2279792746114,18.695459601436426
2006-08-01,2061.99,82.0,-6.075941294901122,-7.968574635241299,1.8926333403401774
2006-09-01,2193.16,85.4,2.1071744494622457,11.05331599479844,-8.946141545336195
2006-10-01,2237.6,93.6,3.8122323619880882,26.145552560646877,-22.33332019865879
2006-11-01,2334.35,92.1,10.397257034759978,12.867647058823529,-2.4703900240635512
2006-12-01,2413.21,91.7,6.44151078216455,0.21857923497268228,6.222931547191868
2007-01-01,2423.16,96.9,7.996470179254289,6.25,1.7464701792542892
2007-02-01,2468.38,91.3,6.8303787826327955,5.305651672433664,1.524727110199131
2007-03-01,2404.21,88.4,3.869716240970522,-0.5624296962879693,4.4321459372584915
2007-04-01,2422.26,87.1,3.659799549800158,-0.3432494279176357,4.0030489777177936
2007-05-01,2531.53,88.3,9.837772638721987,11.63084702907713,-1.7930743903551427
2007-06-01,2613.92,85.3,17.751569918823694,0.4711425206124664,17.280427398211227
2007-07-01,2632.3,90.4,20.172751468889683,6.729634002361284,13.443117466528399
2007-08-01,2553.87,83.4,23.8546258711245,1.7073170731707332,22.14730879795377
2007-09-01,2630.24,83.4,19.929234529172525,-2.3419203747072626,22.27115490387979
2007-10-01,2740.99,80.9,22.496871648194492,-13.568376068376054,36.065247716570546
2007-11-01,2794.83,76.1,19.726262128643945,-17.372421281216067,37.098683409860016
2007-12-01,2637.13,75.5,9.278927237994218,-17.666303162486376,26.945230400480593
2008-01-01,2609.63,78.4,7.695323461925763,-19.091847265221872,26.787170727147636
2008-02-01,2413.36,70.8,-2.2289922945413543,-22.453450164293542,20.22445786975219
2008-03-01,2258.6,69.5,-6.056459294321215,-21.38009049773756,15.323631203416344
2008-04-01,2362.75,62.6,-2.456796545374984,-28.128587830080363,25.671791284705378
2008-05-01,2480.71,59.8,-2.0074816415369456,-32.276330690826725,30.26884904928978
2008-06-01,2491.53,56.4,-4.682239701291547,-33.88042203985931,29.198182338567765
2008-07-01,2304.97,61.2,-12.435132773620039,-32.30088495575222,19.865752182132177
2008-08-01,2310.96,63.0,-9.511447332871281,-24.460431654676263,14.948984321804982
2008-09-01,2349.24,70.3,-10.683435732100499,-15.707434052757808,5.023998320657309
2008-10-01,2069.4,57.6,-24.50173112634485,-28.80098887515451,4.299257748809659
2008-11-01,1726.33,55.3,-38.231305660809426,-27.33245729303547,-10.898848367773954
2008-12-01,1398.07,60.1,-46.98516948349153,-20.397350993377483,-26.58781849011405
2009-01-01,1632.21,61.2,-37.454351766342356,-21.938775510204078,-15.515576256138278
2009-02-01,1494.43,56.3,-38.0767892067491,-20.48022598870056,-17.596563218048537
2009-03-01,1322.85,57.3,-41.430532188081116,-17.55395683453238,-23.876575353548738
2009-04-01,1551.6,65.1,-34.33075864987833,3.9936102236421522,-38.32436887352048
2009-05-01,1719.2,68.7,-30.69726005861225,14.88294314381271,-45.58020320242496
2009-06-01,1828.68,70.8,-26.604134808731985,25.531914893617014,-52.136049702349
2009-07-01,1845.72,66.0,-19.924337410031356,7.843137254901955,-27.76747466493331
2009-08-01,2008.61,65.7,-13.083307370097286,4.285714285714293,-17.36902165581158
2009-09-01,1968.89,73.5,-16.19034240860873,4.551920341394022,-20.74226275000275
2009-10-01,2057.48,70.6,-0.5760123707354792,22.569444444444443,-23.145456815179923
2009-11-01,2049.2,67.4,18.702681410854225,21.880650994575056,-3.177969583720831
2009-12-01,2175.81,72.5,55.62954644617222,20.63227953410982,34.9972669120624
2010-01-01,2308.42,74.4,41.42910532345716,21.568627450980404,19.860477872476753
2010-02-01,2171.2,73.6,45.28616261718512,30.728241563055047,14.557921054130073
2010-03-01,2273.57,73.6,71.8690705673357,28.446771378708547,43.42229918862715
2010-04-01,2402.58,72.2,54.84532095901007,10.906298003072212,43.93902295593786
2010-05-01,2498.74,73.6,45.34318287575614,7.132459970887917,38.21072290486823
2010-06-01,2222.33,76.0,21.526456241660654,7.344632768361592,14.181823473299062
2010-07-01,2101.36,67.8,13.850421515722866,2.7272727272727337,11.123148788450132
2010-08-01,2295.36,68.9,14.276041640736636,4.87062404870624,9.405417592030396
2010-09-01,2176.84,68.2,10.561788622015445,-7.210884353741498,17.772672975756944
2010-10-01,2370.75,67.7,15.22590742072827,-4.107648725212454,19.333556145940722
2010-11-01,2504.84,71.6,22.235018543821994,6.2314540059347,16.003564537887293
2010-12-01,2549.43,74.5,17.1715361175838,2.758620689655178,14.41291542792862
2011-01-01,2691.52,74.2,16.595766801535248,-0.26881720430107503,16.864584005836324
2011-02-01,2751.19,77.5,26.712877671333835,5.2989130434782705,21.413964627855563
2011-03-01,2737.41,67.5,20.401395162673673,-8.288043478260864,28.689438640934537
2011-04-01,2789.6,69.8,16.108516677904582,-3.3240997229917024,19.432616400896286
2011-05-01,2864.08,74.3,14.62096896836007,0.9510869565217517,13.669882011838318
2011-06-01,2769.19,71.5,24.60750653593302,-5.921052631578949,30.52855916751197
2011-07-01,2816.03,63.7,34.009879316252324,-6.047197640117985,40.05707695637031
2011-08-01,2744.61,55.8,19.572093266415735,-19.01306240928884,38.58515567570457
2011-09-01,2546.04,59.5,16.960364565149465,-12.756598240469208,29.71696280561867
2011-10-01,2335.83,60.8,-1.4729515975956953,-10.192023633678005,8.71907203608231
2011-11-01,2606.96,63.7,4.076907107839212,-11.033519553072612,15.110426660911823
2011-12-01,2626.2,69.9,3.0112613407702993,-6.17449664429529,9.185757985065589
2012-01-01,2648.72,75.0,-1.5901795268101315,1.0781671159029615,-2.668346642713093
2012-02-01,2848.27,75.3,3.52865487298224,-2.83870967741936,6.3673645504016
2012-03-01,2988.97,76.2,9.189708520097462,12.888888888888882,-3.6991803687914206
2012-04-01,3119.7,76.4,11.833237740177793,9.455587392550147,2.3776503476276467
2012-05-01,3050.44,79.3,6.506801485992009,6.729475100942128,-0.2226736149501196
2012-06-01,2747.48,73.2,-0.7839837642054204,2.3776223776223793,-3.1616061418277996
2012-07-01,2951.24,72.3,4.801440325564688,13.500784929356357,-8.699344603791669
2012-08-01,2920.21,74.3,6.397994614899738,33.15412186379929,-26.756127248899553
2012-09-01,3075.06,78.3,20.77814959702127,31.596638655462183,-10.818489058440914
2012-10-01,3113.53,82.6,33.29437501872998,35.85526315789473,-2.560888139164753
2012-11-01,3020.06,82.7,15.846042900543168,29.82731554160125,-13.981272641058084
2012-12-01,3002.2,72.9,14.317264488614722,4.29184549356223,10.025418995052492
2013-01-01,3112.26,73.8,17.50052855718991,-1.6000000000000014,19.10052855718991
2013-02-01,3179.1,77.6,11.615120757512454,3.054448871181936,8.560671886330518
2013-03-01,3169.74,78.6,6.047902789255155,3.149606299212593,2.8982964900425623
2013-04-01,3239.17,76.4,3.8295348911754346,0.0,3.8295348911754346
2013-05-01,3299.13,84.5,8.152594379827182,6.557377049180335,1.5952173306468467
2013-06-01,3465.37,84.1,26.129034606257374,14.890710382513639,11.238324223743735
2013-07-01,3434.49,85.1,16.374473102831356,17.70401106500692,-1.3295379621755643
2013-08-01,3675.74,82.1,25.872454378281006,10.497981157469717,15.37447322081129
2013-09-01,3612.61,77.5,17.480959721111144,-1.0217113665389466,18.502671087650093
2013-10-01,3817.98,73.2,22.625444431240417,-11.38014527845035,34.00558970969077
2013-11-01,3922.04,75.1,29.86629404713814,-9.189842805320447,39.056136852458586
2013-12-01,4045.26,82.5,34.74318832855907,13.168724279835375,21.574464048723698
2014-01-01,4143.07,81.2,33.12094747868106,10.027100271002709,23.09384720767835
2014-02-01,3996.96,81.6,25.7261489100689,5.154639175257736,20.571509734811166
2014-03-01,4277.3,80.0,34.94166713989162,1.781170483460559,33.160496656431064
