name,date,affordability_index,lat,lng,one_year_change,one_year_date,population
"Idaho Falls, ID",2026-08-01,0.1838137260722992,43.4871,-112.0362,-0.001718936390089687,2025-08-01,171233.0
"Indianapolis, IN",2026-08-01,0.221932800760274,39.7771,-86.1458,-0.0009012974163093157,2025-08-01,2174833.0
"Iowa City, IA",2026-08-01,0.2041027635679556,41.6559,-91.5303,0.008863427750942704,2025-08-01,182711.0
"Ithaca, NY",2026-08-01,0.294860813105439,42.4442,-76.5032,0.004981263092784294,2025-08-01,105602.0
"Jackson, MI",2026-08-01,0.186583985934462,42.2431,-84.4038,0.0072576285459506895,2025-08-01,160233.0
"Jackson, MS",2026-08-01,0.2560940356700634,32.3157,-90.2125,0.0027698775468170678,2025-08-01,606178.0
"Jackson, TN",2026-08-01,0.2543649781611857,35.6538,-88.8354,0.0021236416545376002,2025-08-01,183680.0
"Jacksonville, FL",2026-08-01,0.2345483985156783,30.3322,-81.6749,-0.003968756803772205,2025-08-01,1760548.0
"Jacksonville, NC",2026-08-01,0.2394807038570308,34.7289,-77.3941,0.0029214731724860887,2025-08-01,212954.0
"Janesville, WI",2026-08-01,0.1993832765702676,42.6854,-89.0135,0.006623290552396799,2025-08-01,165461.0
"Jefferson City, MO",2026-08-01,0.1695303052098031,38.5676,-92.1759,0.005778421376296999,2025-08-01,151523.0
"Johnson City, TN",2026-08-01,0.2902463206322179,36.3406,-82.3806,-0.0036301351106662327,2025-08-01,214948.0
"Johnstown, PA",2026-08-01,0.1561484669528277,40.326,-78.9194,0.0035335621155545838,2025-08-01,130108.0
"Jonesboro, AR",2026-08-01,0.2845824750147465,35.8212,-90.6791,0.0012773634148084967,2025-08-01,138152.0
"Joplin, MO",2026-08-01,0.2297744064826519,37.0757,-94.5018,0.003750250692618917,2025-08-01,207131.0
"Kahului, HI",2026-08-01,0.3695049255879417,20.8715,-156.4603,-0.001021967931643608,2025-08-01,163769.0
"Kalamazoo, MI",2026-08-01,0.2007258006634481,42.2749,-85.5882,0.00303351574679922,2025-08-01,264780.0
