Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,date,multi_total
"Farmington, NM",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Fayetteville, NC",65.0,65.0,0.0,0.0,0.0,2026-04-01,0.0
"Fayetteville, TN",15.0,15.0,0.0,0.0,0.0,2026-04-01,0.0
"Fayetteville, AR",669.0,509.0,2.0,0.0,158.0,2026-04-01,160.0
"Fergus Falls, MN",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Findlay, OH",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Fitzgerald, GA",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Flagstaff, AZ",55.0,55.0,0.0,0.0,0.0,2026-04-01,0.0
"Flint, MI",38.0,27.0,4.0,0.0,7.0,2026-04-01,11.0
"Florence, SC",93.0,73.0,0.0,0.0,20.0,2026-04-01,20.0
"Florence, AL",48.0,17.0,0.0,31.0,0.0,2026-04-01,31.0
"Fond du Lac, WI",17.0,15.0,2.0,0.0,0.0,2026-04-01,2.0
"Forest City, NC",16.0,16.0,0.0,0.0,0.0,2026-04-01,0.0
"Forrest City, AR",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Fort Collins, CO",189.0,100.0,0.0,0.0,89.0,2026-04-01,89.0
"Fort Dodge, IA",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Fort Leonard Wood, MO",11.0,11.0,0.0,0.0,0.0,2026-04-01,0.0
"Fort Madison, IA",7.0,2.0,0.0,0.0,5.0,2026-04-01,5.0
"Fort Morgan, CO",1.0,1.0,0.0,0.0,0.0,2026-04-01,0.0
"Fort Payne, AL",3.0,3.0,0.0,0.0,0.0,2026-04-01,0.0
"Fort Smith, AR",27.0,23.0,4.0,0.0,0.0,2026-04-01,4.0
"Fort Wayne, IN",227.0,153.0,2.0,3.0,69.0,2026-04-01,74.0
"Frankfort, IN",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Frankfort, KY",8.0,8.0,0.0,0.0,0.0,2026-04-01,0.0
"Franklin, KY",14.0,14.0,0.0,0.0,0.0,2026-04-01,0.0
"Fredericksburg, TX",4.0,4.0,0.0,0.0,0.0,2026-04-01,0.0
"Freeport, IL",2.0,2.0,0.0,0.0,0.0,2026-04-01,0.0
"Fremont, NE",12.0,8.0,0.0,4.0,0.0,2026-04-01,4.0
"Fremont, OH",4.0,0.0,4.0,0.0,0.0,2026-04-01,4.0
"Fresno, CA",151.0,151.0,0.0,0.0,0.0,2026-04-01,0.0
"Gadsden, AL",12.0,12.0,0.0,0.0,0.0,2026-04-01,0.0
"Gaffney, SC",39.0,24.0,2.0,3.0,10.0,2026-04-01,15.0
"Gainesville, FL",267.0,85.0,0.0,0.0,182.0,2026-04-01,182.0
"Gainesville, GA",177.0,167.0,0.0,0.0,10.0,2026-04-01,10.0
"Gainesville, TX",6.0,6.0,0.0,0.0,0.0,2026-04-01,0.0
"Galesburg, IL",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Gallipolis, OH",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Gallup, NM",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Garden City, KS",11.0,9.0,2.0,0.0,0.0,2026-04-01,2.0
"Gardnerville Ranchos, NV",27.0,27.0,0.0,0.0,0.0,2026-04-01,0.0
"Gettysburg, PA",43.0,43.0,0.0,0.0,0.0,2026-04-01,0.0
"Gillette, WY",8.0,8.0,0.0,0.0,0.0,2026-04-01,0.0
"Glasgow, KY",6.0,4.0,2.0,0.0,0.0,2026-04-01,2.0
"Glens Falls, NY",26.0,26.0,0.0,0.0,0.0,2026-04-01,0.0
"Gloversville, NY",5.0,5.0,0.0,0.0,0.0,2026-04-01,0.0
"Goldsboro, NC",74.0,66.0,0.0,0.0,8.0,2026-04-01,8.0
"Granbury, TX",37.0,37.0,0.0,0.0,0.0,2026-04-01,0.0
"Grand Forks, ND",45.0,38.0,0.0,0.0,7.0,2026-04-01,7.0
"Grand Island, NE",36.0,30.0,6.0,0.0,0.0,2026-04-01,6.0
"Grand Junction, CO",47.0,47.0,0.0,0.0,0.0,2026-04-01,0.0
"Grand Rapids, MN",25.0,11.0,0.0,0.0,14.0,2026-04-01,14.0
"Grand Rapids, MI",269.0,226.0,2.0,3.0,38.0,2026-04-01,43.0
"Grants Pass, OR",29.0,11.0,2.0,0.0,16.0,2026-04-01,18.0
"Great Bend, KS",0.0,0.0,0.0,0.0,0.0,2026-04-01,0.0
"Great Falls, MT",12.0,12.0,0.0,0.0,0.0,2026-04-01,0.0
"Greeley, CO",251.0,246.0,0.0,0.0,5.0,2026-04-01,5.0
"Green Bay, WI",147.0,69.0,12.0,0.0,66.0,2026-04-01,78.0
